"species_code","common_name","scientific_name","bird_group","status_note","brief_description"
"AYTHYA_AFFINIS","Lesser Scaup","Aythya affinis","Ducks, Geese, and Swans","No special state or federal status code shown","Ducks, Geese, and Swans. Range: breeds North America from northern Alaska and western Canada southward through northern California, southern Colorado, and Minnesota (USA); winters to Hawaiian Islands, the Caribbean, and northern South America Indiana listing: No special state or federal status code shown."
"TRINGA_FLAVIPES","Lesser Yellowlegs","Tringa flavipes","Sandpipers and Phalaropes","No special state or federal status code shown","Sandpipers and Phalaropes. Range: breeds subarctic tundra to forest from Alaska mainland eastward to James Bay and probably central Quebec (east-central Canada); winters southern USA throughout Caribbean southward to Tierra del Fuego Indiana listing: No special state or federal status code shown."
"MELOSPIZA_LINCOLNII","Lincoln's Sparrow","Melospiza lincolnii","Sparrows","No special state or federal status code shown","Sparrows. Range: breeds in boggy woodland and willows from western Alaska to Newfoundland (northeastern Canada), southwards through mountains of western USA to southern California and northern New Mexico, and southwards in eastern Canada to northern Michigan, Wisconsin and Minnesota; winters in shrubby woodland along the Pacific coast of the USA southward to Baja California and from the southern USA across most of Mexico (rare on Yucatan Peninsula), southeastwards to southeastern Honduras Indiana listing: No special state or federal status code shown."
"EGRETTA_CAERULEA","Little Blue Heron","Egretta caerulea","Bitterns, Herons, and Egrets","No special state or federal status code shown","Bitterns, Herons, and Egrets. Range: USA to southern Brazil, Uruguay, and West Indies Indiana listing: No special state or federal status code shown."
"HYDROCOLOEUS_MINUTUS","Little Gull","Hydrocoloeus minutus","Gulls, Terns, and Skimmers","No special state or federal status code shown","Gulls, Terns, and Skimmers. Range: breeds Baltic region eastward to Sea of Okhotsk and southward to northern Kazakhstan and northeastern China, also rarely Great Lakes, Hudson and James bays (east-central Canada); winters North Atlantic coasts and North, Mediterranean, Baltic, Black, and Caspian seas Indiana listing: No special state or federal status code shown."
"LANIUS_LUDOVICIANUS","Loggerhead Shrike","Lanius ludovicianus","Shrikes","Indiana State Endangered","Shrikes. Range: breeds in varied open habitats with bushy vegetation from eastern Washington and Alberta eastwards to southwestern Manitoba (south-central Canada), southwards to southern Baja California and Oaxaca (western Mexico), including islands off southern California, and locally in southeastern USA to the Gulf coast and southern Florida; populations from southern USA southwards are resident, and reaches southeastern Mexico in winter; formerly much more widespread in eastern North America Indiana listing: Indiana State Endangered."
"NUMENIUS_AMERICANUS","Long-billed Curlew","Numenius americanus","Sandpipers and Phalaropes","No special state or federal status code shown","Sandpipers and Phalaropes. Range: breeds inland grassland from southern British Columbia eastward to southwestern Saskatchewan (southwestern Canada) southward to northeastern California and northeastern New Mexico (southwestern USA); winters to coastal and inland California, and Gulf Coast to central Panama and western Yucatan Peninsula Indiana listing: No special state or federal status code shown."
"LIMNODROMUS_SCOLOPACEUS","Long-billed Dowitcher","Limnodromus scolopaceus","Sandpipers and Phalaropes","No special state or federal status code shown","Sandpipers and Phalaropes. Range: breeds wet meadows from Lena River through northeastern Siberia, St. Lawrence Island (Bering Sea; rare), western Alaska and northern Northwest Territories (north-central Canada); winters inland from the southern US through Mexico, along the Pacific coast from the Pacific Northwest south to northwestern Costa Rica, and along the Atlantic and Gulf coasts from the mid-Atlantic south to the Yucatan Peninsula Indiana listing: No special state or federal status code shown."
"BRACHYRAMPHUS_PERDIX","Long-billed Murrelet","Brachyramphus perdix","Murres and Murrelets","No special state or federal status code shown","Murres and Murrelets. Range: breeds coastal strip up to 30 km inland in Kamchatka, Sea of Okhotsk, Sakhalin (eastern Russia), and northern Hokkaido (northern Japan); winters to coastal central Japan; prone to long-distance vagrancy to continental USA Indiana listing: No special state or federal status code shown."
"ASIO_OTUS","Long-eared Owl","Asio otus","Typical Owls","Indiana Special Concern","Typical Owls. Range: Holarctic, in Europe, North Africa, and temperate Asia, and southern Canada to northwestern Baja California and northern Mexico (Nuevo Le<U+00F3>n) Indiana listing: Indiana Special Concern."
"CLANGULA_HYEMALIS","Long-tailed Duck","Clangula hyemalis","Ducks, Geese, and Swans","No special state or federal status code shown","Ducks, Geese, and Swans. Range: breeds coastal Greenland (except northern), Iceland, northern Fennoscandia, northern Russia to Chukotka Peninsula, Alaska and northern Canada; winters mostly in coastal bays of northwestern Europe, Japan and Korean Peninsula, and Aleutian Islands to southwestern Canada Indiana listing: No special state or federal status code shown."
"STERCORARIUS_LONGICAUDUS","Long-tailed Jaeger","Stercorarius longicaudus","Jaegers","No special state or federal status code shown","Jaegers. Range: breeds Holarctic high and low Arctic tundra, locally in subarctic, from northwestern and southeastern Greenland, Arctic northern Scandinavia to northeastern Siberia and Kamchatka (eastern Russia); Arctic, western, and southern Alaska through Arctic Canada to Ellesmere and Baffin islands; in winter highly pelagic and mostly occurs southerly, to offshore subantarctic and subtropical waters off Africa, Madagascar, southern Australia, Peru, Chile, and east-central Argentina Indiana listing: No special state or federal status code shown."
"PARKESIA_MOTACILLA","Louisiana Waterthrush","Parkesia motacilla","New World Warblers","No special state or federal status code shown","New World Warblers. Range: breeds eastern USA; winters southern Florida to northwestern South America and West Indies Indiana listing: No special state or federal status code shown."
"FREGATA_MAGNIFICENS","Magnificent Frigatebird","Fregata magnificens","Frigatebirds","No special state or federal status code shown","Frigatebirds. Range: breeds Cape Verde Islands (where almost extirpated), islands from southern Baja California (northwestern Mexico) to Ecuador including Galapagos, and eastern Mexico and far southern Florida through Caribbean to northeastern Brazil; ranges to coastal northern Baja California, Gulf of California, and southward to northern Peru, and to northern Florida and Gulf of Mexico Indiana listing: No special state or federal status code shown."
"SETOPHAGA_MAGNOLIA","Magnolia Warbler","Setophaga magnolia","New World Warblers","No special state or federal status code shown","New World Warblers. Range: breeds eastern North America; winters to Panama and West Indies Indiana listing: No special state or federal status code shown."
"ANAS_PLATYRHYNCHOS","Mallard","Anas platyrhynchos","Ducks, Geese, and Swans","No special state or federal status code shown","Ducks, Geese, and Swans. Range: breeds Holarctic; winters to southern USA and southern Asia Indiana listing: No special state or federal status code shown."
"LIMOSA_FEDOA","Marbled Godwit","Limosa fedoa","Sandpipers and Phalaropes","No special state or federal status code shown","Sandpipers and Phalaropes. Range: breeds subarctic to temperate grassland disjunctly in central Alaska Peninsula; south-central Canada to north-central USA; and west James Bay area (northern Ontario, east-central Canada); winters coastal USA from Washington to central Panama and New Jersey to Yucatan Peninsula Indiana listing: No special state or federal status code shown."
"CISTOTHORUS_PALUSTRIS","Marsh Wren","Cistothorus palustris","Wrens","Indiana State Endangered","Wrens. Range: breeds in coastal to freshwater marshes disjunctly from southwestern and northeastern British Columbia eastward to southwestern Quebec, and southward to southern California, northern Kansas, and along Atlantic US coast southward to southeastern Georgia, along Gulf coast, and Hidalgo southwards to Puebla (south-central Mexico); largely resident in coastal USA, more northerly interior populations winter southwards to southern Baja California, Oaxaca (southern Mexico), and southern Florida  Indiana listing: Indiana State Endangered."
"RHYNCHOPHANES_MCCOWNII","McCown's Longspur","Rhynchophanes mccownii","Longspurs and Snow Buntings","No special state or federal status code shown","Longspurs and Snow Buntings. Range: Range context unavailable in the matched Cornell record. Indiana listing: No special state or federal status code shown."
"FALCO_COLUMBARIUS","Merlin","Falco columbarius","Falcons and Caracaras","No special state or federal status code shown","Falcons and Caracaras. Range: breeds Holarctic, from Iceland and Faroe Islands to Sakhalin, and mountains and steppes of central Asia, and northern North America southward to northern tier of US states; winters to northern Africa, tropical Asia, and northern South America Indiana listing: No special state or federal status code shown."
"LARUS_CANUS","Mew Gull","Larus canus","Gulls, Terns, and Skimmers","No special state or federal status code shown","Gulls, Terns, and Skimmers. Range: Range context unavailable in the matched Cornell record. Indiana listing: No special state or federal status code shown."
"COLIBRI_THALASSINUS","Mexican Violetear","Colibri thalassinus","Hummingbirds","No special state or federal status code shown","Hummingbirds. Range: open mountain slopes of southern Mexico to north-central Nicaragua Indiana listing: No special state or federal status code shown."
"ICTINIA_MISSISSIPPIENSIS","Mississippi Kite","Ictinia mississippiensis","Kites, Eagles, and Hawks","Indiana Special Concern","Kites, Eagles, and Hawks. Range: breeds southern USA (Arizona to Florida); winters in South America Indiana listing: Indiana Special Concern."
"MYIOPSITTA_MONACHUS","Monk Parakeet","Myiopsitta monachus","Parakeets","Exotic or introduced","Parakeets. Range: semi-arid savanna with scattered trees and various grassland habitats in the cerrado from south-central Brazil, in southern Mato Grosso southward to southern Mato Grosso do Sul, Paran<U+00E1> and southern Rio Grande do Sul and southward across Uruguay to central-eastern Argentina, to the provinces of Rio Negro and Chubut; also west to Paraguay, and eastern Bolivia Indiana listing: Exotic or introduced."
"ANAS_FULVIGULA","Mottled Duck","Anas fulvigula","Ducks, Geese, and Swans","No special state or federal status code shown","Ducks, Geese, and Swans. Range: Gulf coast from Texas to Florida in USA, and Tamaulipas in northeastern Mexico Indiana listing: No special state or federal status code shown."
"SIALIA_CURRUCOIDES","Mountain Bluebird","Sialia currucoides","Thrushes","No special state or federal status code shown","Thrushes. Range: breeds western North America (Alaska to central Mexico); winters to Baja California Indiana listing: No special state or federal status code shown."
"ANARHYNCHUS_MONTANUS","Mountain Plover","Anarhynchus montanus","Plovers","No special state or federal status code shown","Plovers. Range: breeds locally Great Plains of southwestern Canada to northeastern Utah and western Texas (southwestern USA); winters to inland central California, southern Arizona to southern Texas, and northern Baja California (northwestern Mexico) Indiana listing: No special state or federal status code shown."
"ZENAIDA_MACROURA","Mourning Dove","Zenaida macroura","Pigeons and Doves","No special state or federal status code shown","Pigeons and Doves. Range: southern Canada through the USA and Greater Antilles southward to western Panama Indiana listing: No special state or federal status code shown."
"GEOTHLYPIS_PHILADELPHIA","Mourning Warbler","Geothlypis philadelphia","New World Warblers","No special state or federal status code shown","New World Warblers. Range: breeds southeastern Canada and northeastern USA; winters Nicaragua to northwestern South America Indiana listing: No special state or federal status code shown."
"CYGNUS_OLOR","Mute Swan","Cygnus olor","Ducks, Geese, and Swans","Exotic or introduced","Ducks, Geese, and Swans. Range: west-central to east-central Palearctic region from central Europe to southeastern China; partially migratory southward; introduced widely including to western and southwestern Europe, Japan, southwestern Australia, and eastern North America Indiana listing: Exotic or introduced."
"LEIOTHLYPIS_RUFICAPILLA","Nashville Warbler","Leiothlypis ruficapilla","New World Warblers","No special state or federal status code shown","New World Warblers. Range: breeds disjunctly in deciduous and secondary forest in southern British Columbia (southwestern Canada) and northwestern USA southward to central California, and from Saskatchewan eastwards to Nova Scotia (central to eastern Canada), and in the northeastern USA from northern Minnesota eastwards to the Atlantic coast southwards to Maryland, and in the Appalachians southwards to West Virginia; winters southern California and southernmost Texas through northern and central Mexico, and more rarely to Honduras Indiana listing: No special state or federal status code shown."
"AMMOSPIZA_NELSONI","Nelson's Sparrow","Ammospiza nelsoni","Sparrows","No special state or federal status code shown","Sparrows. Range: breeds in freshwater marshes, sedge bogs, wet grassland, and tidal wetlands of north-central Canada, from southern Northwest Territories southwards to far northeastern South Dakota and western Minnesota, on the southern coast of Hudson Bay (east-central Canada), and on the Atlantic coast from the Gulf of Saint Lawrence (eastern Quebec) southwards to coastal Massachusetts (northeastern USA); winters on the Atlantic coast of USA from Delaware southwards to southern Florida and the Gulf coast to eastern Texas Indiana listing: No special state or federal status code shown."
"NANNOPTERUM_BRASILIANUM","Neotropic Cormorant","Nannopterum brasilianum","Cormorants","No special state or federal status code shown","Cormorants. Range: widespread inland and coastal central and southern USA (where range expanding northward) to Tierra del Fuego; Bahamas and Cuba Indiana listing: No special state or federal status code shown."
"COLINUS_VIRGINIANUS","Northern Bobwhite","Colinus virginianus","Quail","Indiana Special Concern","Quail. Range: eastern USA to western Guatemala Indiana listing: Indiana Special Concern."
"CARDINALIS_CARDINALIS","Northern Cardinal","Cardinalis cardinalis","Tanagers, Cardinals, and Grosbeaks","No special state or federal status code shown","Tanagers, Cardinals, and Grosbeaks. Range: eastern USA and southeastern Canada, and southwestern USA and Mexico through the Yucatan Peninsula, including Belize and Pet<U+00E9>n of northern Guatemala Indiana listing: No special state or federal status code shown."
"COLAPTES_AURATUS","Northern Flicker","Colaptes auratus","Woodpeckers","No special state or federal status code shown","Woodpeckers. Range: various habitats with standing trees and open ground from western Alaska eastward across Canada to Newfoundland, and southward across most US to southern California, northern Baja California (Mexico), southwestern Texas, the Gulf of Mexico coast and southern Florida; in Mexico southward along the Sierra Madre Occidental and Oriental to northern Michoacan, northern Oaxaca, and in mountains of Guerrero to southern Oaxaca; also in Cuba and Grand Cayman Island Indiana listing: No special state or federal status code shown."
"MORUS_BASSANUS","Northern Gannet","Morus bassanus","Boobies and Gannets","No special state or federal status code shown","Boobies and Gannets. Range: breeds North Atlantic coasts from Iceland through Norway and France, and Newfoundland (southeastern Canada); ranges southward on coasts to western Mediterranean and northwestern Africa, and to Florida and northern Gulf of Mexico Indiana listing: No special state or federal status code shown."
"ACCIPITER_GENTILIS","Northern Goshawk","Accipiter gentilis","Kites, Eagles, and Hawks","No special state or federal status code shown","Kites, Eagles, and Hawks. Range: Range context unavailable in the matched Cornell record. Indiana listing: No special state or federal status code shown."
"CIRCUS_HUDSONIUS","Northern Harrier","Circus hudsonius","Kites, Eagles, and Hawks","Indiana State Endangered","Kites, Eagles, and Hawks. Range: breeds North America; winters to northern South America Indiana listing: Indiana State Endangered."
"MIMUS_POLYGLOTTOS","Northern Mockingbird","Mimus polyglottos","Mockingbirds and Thrashers","No special state or federal status code shown","Mockingbirds and Thrashers. Range: open shrubby habitats and woodland including urban areas from southernmost Canada (rare) southwards across most USA (but rare in north-central USA) to southern Florida, southern Baja California and most Mexico (including western islands) southwards to northern Oaxaca, and the Greater Antilles eastwards to the Virgin Islands; introduced to Hawaii; range expanding northwards Indiana listing: No special state or federal status code shown."
"SETOPHAGA_AMERICANA","Northern Parula","Setophaga americana","New World Warblers","No special state or federal status code shown","New World Warblers. Range: breeds eastern North America (southern Canada to southern USA); winters to Nicaragua and West Indies Indiana listing: No special state or federal status code shown."
"ANAS_ACUTA","Northern Pintail","Anas acuta","Ducks, Geese, and Swans","No special state or federal status code shown","Ducks, Geese, and Swans. Range: breeds Palearctic from Iceland and northern Scandinavia eastwards to northeastern Russia, and southwards to central Europe to southeastern Russia, and North America from northern Alaska and arctic Canada southwards to north-central USA; winters to central Africa, southern Asia, southern Central America, and the Caribbean Indiana listing: No special state or federal status code shown."
"STELGIDOPTERYX_SERRIPENNIS","Northern Rough-winged Swallow","Stelgidopteryx serripennis","Martins and Swallows","No special state or federal status code shown","Martins and Swallows. Range: breeds in open areas, often near water and rocky outcrops, gorges, and embankments, from southeastern Alaska and western British Columbia eastwards to southern New Brunswick (southwestern to southeastern Canada) and southwards to northern Baja California, Pacific and Atlantic slopes of Mexico, southern Mexico (including Yucatan Peninsula) to central Costa Rica, Gulf coast, and southern Florida; populations from Canada and USA winter in the Greater Antilles more widely and Mexico to central Panama Indiana listing: No special state or federal status code shown."
"AEGOLIUS_ACADICUS","Northern Saw-whet Owl","Aegolius acadicus","Typical Owls","No special state or federal status code shown","Typical Owls. Range: various montane forest and woodland from southern Alaska eastward across Canada to Nova Scotia, southward in western US to southern California and along the Rocky Mountains southward to southern Arizona, southern New Mexico and adjacent Texas, and in Mexico southward along the Sierra Madre Occidental to the volcanic belt in northern Michoacan and in the Sierra Madre Oriental in southern Coahuila and adjacent Nuevo Le<U+00F3>n and San Luis Potosi, and from southern San Luis Potosi southeastward to northern Oaxaca; in northeastern US southward to northern Illinois, Indiana, Ohio, Pennsylvania and New Jersey, and south along the Appalachian Mountains to eastern Tennessee; winters at lower elevations across most US Indiana listing: No special state or federal status code shown."
"SPATULA_CLYPEATA","Northern Shoveler","Spatula clypeata","Ducks, Geese, and Swans","No special state or federal status code shown","Ducks, Geese, and Swans. Range: breeds Holarctic (except Arctic); winters through eastern Africa, southern and southeastern Asia, the Philippines, the Caribbean, and Central America Indiana listing: No special state or federal status code shown."
"LANIUS_BOREALIS","Northern Shrike","Lanius borealis","Shrikes","No special state or federal status code shown","Shrikes. Range: breeds central to eastern Siberia, southward to northwestern China and northwestern Mongolia to Sakhalin and Kuril Islands, and breeds Alaska and northern Canada, southward to far northern British Columbia and Alberta, northern Ontario and Quebec; winters southern Canada and northern USA Indiana listing: No special state or federal status code shown."
"PARKESIA_NOVEBORACENSIS","Northern Waterthrush","Parkesia noveboracensis","New World Warblers","No special state or federal status code shown","New World Warblers. Range: breeds northern North America; winters to West Indies and northern South America Indiana listing: No special state or federal status code shown."
"OENANTHE_OENANTHE","Northern Wheatear","Oenanthe oenanthe","Old World Flycatchers","No special state or federal status code shown","Old World Flycatchers. Range: breeds British Isles to Mediterranean and eastward to Siberia, Alaska, and northwestern Canada (Yukon), southern Spain and Balearic Islands to Iran, Kazakhstan, and Mongolia, and breeds northeastern Canada to Greenland and Iceland; winters to western and central Africa Indiana listing: No special state or federal status code shown."
"CONTOPUS_COOPERI","Olive-sided Flycatcher","Contopus cooperi","Flycatchers","No special state or federal status code shown","Flycatchers. Range: breeds temperate North America; winters southward to Bolivia Indiana listing: No special state or federal status code shown."
"LEIOTHLYPIS_CELATA","Orange-crowned Warbler","Leiothlypis celata","New World Warblers","No special state or federal status code shown","New World Warblers. Range: breeds in shrub and woodland from Alaska eastwards to Newfoundland (eastern Canada) and southwards through most of the western USA to northern Baja California and New Mexico; winters on Pacific coast of USA and southern USA throughout Mexico (rarer in the Yucatan Peninsula) except the far south Indiana listing: No special state or federal status code shown."
"ICTERUS_SPURIUS","Orchard Oriole","Icterus spurius","Blackbirds and Orioles","No special state or federal status code shown","Blackbirds and Orioles. Range: breeds in open woodland, orchards, hedgerows, shrubby second growth, and riparian forest from southern Saskatchewan and Manitoba (south-central Canada) eastwards to southern New England, southwards across central to eastern USA to the Gulf coast and southwards through central Mexico to the volcanic belt; resident on the Gulf coast from southern Tamaulipas to Tabasco (southeastern Mexico); winters from Sinaloa (western Mexico) southwards across most Central America, including the Yucatan Peninsula, to western Venezuela and northern Colombia southwards to the south-central Colombian Andes Indiana listing: No special state or federal status code shown."
"PANDION_HALIAETUS","Osprey","Pandion haliaetus","Osprey","Indiana Special Concern","Osprey. Range: breeds Palearctic, Sulawesi and Java to New Guinea, coastal Australia (except Tasmania), New Caledonia, Canada to southern USA, and Caribbean; northern populations winter to South Africa, India, Philippines, and South America southward to Peru and Brazil Indiana listing: Indiana Special Concern."
"SEIURUS_AUROCAPILLA","Ovenbird","Seiurus aurocapilla","New World Warblers","No special state or federal status code shown","New World Warblers. Range: breeds deciduous and coniferous forest from southern Northwestern Territories and northeastern British Columbia eastwards to Newfoundland and Labrador (western to eastern Canada), and from Colorado to northern Georgia (central to southeastern USA); winters from southern Florida, the Caribbean, Mexico (mostly eastern, including the Yucatan Peninsula) through Central America to eastern Panama, and scarcer in the lowlands of northern Colombia Indiana listing: No special state or federal status code shown."
"GAVIA_PACIFICA","Pacific Loon","Gavia pacifica","Loons","No special state or federal status code shown","Loons. Range: breeds coastal eastern Siberia and northern North America eastward through northern Canada to Baffin Island and James Bay (eastern Canada); winters to Japan and southern Baja California Indiana listing: No special state or federal status code shown."
"PASSERINA_CIRIS","Painted Bunting","Passerina ciris","Tanagers, Cardinals, and Grosbeaks","No special state or federal status code shown","Tanagers, Cardinals, and Grosbeaks. Range: breeds southern USA and northern Mexico; winters to Bahamas, Cuba, Jamaica, Yucatan Peninsula, and western Panama Indiana listing: No special state or federal status code shown."
"SETOPHAGA_PALMARUM","Palm Warbler","Setophaga palmarum","New World Warblers","No special state or federal status code shown","New World Warblers. Range: breeds areas with scattered trees from the Northwestern Territories eastwards to Newfoundland and Nova Scotia (western to eastern Canada) and in the northeastern USA around the Great Lakes and northern Maine; winters mostly on the Atlantic coast from Maryland southwards to southern Florida and along the Gulf coast to southern Texas, in the Caribbean in the Greater Antilles and on the Caribbean coast from Yucatan Peninsula to central Panama, and in Bermuda Indiana listing: No special state or federal status code shown."
"STERCORARIUS_PARASITICUS","Parasitic Jaeger","Stercorarius parasiticus","Jaegers","No special state or federal status code shown","Jaegers. Range: breeds mostly low Arctic tundra from Greenland, Iceland, and Scotland eastward to northeastern Siberia and Kamchatka, Aleutian and Bering Sea islands, through Alaska to east-central Arctic Canada (except northern high Arctic islands); winters to coastal waters of Africa, Persian Gulf, western India and Sri Lanka, eastward to Australasia, and Peru, Chile, and east-central Argentina Indiana listing: No special state or federal status code shown."
"CALIDRIS_MELANOTOS","Pectoral Sandpiper","Calidris melanotos","Sandpipers and Phalaropes","No special state or federal status code shown","Sandpipers and Phalaropes. Range: breeds wet tundra from Yamal Peninsula eastward to Chukotskiy Peninsula (northwestern to eastern Siberia), including New Siberian and Wrangel islands, also western and northern Alaska eastward through northeastern Canada, including Arctic islands; winters wet grassland and wetland edge mainly to Peru, Bolivia, and southern Brazil southward to Tierra del Fuego; prone to extreme vagrancy Indiana listing: No special state or federal status code shown."
"FALCO_PEREGRINUS","Peregrine Falcon","Falco peregrinus","Falcons and Caracaras","Indiana Special Concern","Falcons and Caracaras. Range: global across open habitats, lowland to montane, on all wooded continents, and many offshore islands; most northern populations migrate southward in winter; breeding absent in Amazon Basin, Sahara Desert, and most steppes of central and eastern Asia Indiana listing: Indiana Special Concern."
"VIREO_PHILADELPHICUS","Philadelphia Vireo","Vireo philadelphicus","Vireos","No special state or federal status code shown","Vireos. Range: breeds eastern North America; winters to northern Colombia Indiana listing: No special state or federal status code shown."
"PODILYMBUS_PODICEPS","Pied-billed Grebe","Podilymbus podiceps","Grebes","No special state or federal status code shown","Grebes. Range: breeds northwestern Canada through USA, Caribbean, Mexico, Central and South America to central Chile and northern and west-central Argentina; winters to western and south-central USA Indiana listing: No special state or federal status code shown."
"DRYOCOPUS_PILEATUS","Pileated Woodpecker","Dryocopus pileatus","Woodpeckers","No special state or federal status code shown","Woodpeckers. Range: coniferous and deciduous forest from western Canada southward along the Cascade Range and Sierra Nevada to central California, USA, and along the Rocky Mountains to northern Idaho and western Montana, eastward across central Canada to Nova Scotia and New Brunswick, southward in central Canada and USA, west of the Great Lakes, to eastern Texas and the Gulf of Mexico coast, and southward along the Atlantic coast to southern Florida Indiana listing: No special state or federal status code shown."
"PINICOLA_ENUCLEATOR","Pine Grosbeak","Pinicola enucleator","Finches","No special state or federal status code shown","Finches. Range: Scandinavia through Kamchatka, Sakhalin, and Kuril Islands (eastern Russia) and Hokkaido (northern Japan); western Alaska through eastern Canada, and high montane western North America to California and New Mexico Indiana listing: No special state or federal status code shown."
"SPINUS_PINUS","Pine Siskin","Spinus pinus","Finches","No special state or federal status code shown","Finches. Range: breeds open coniferous forest, mixed coniferous-deciduous forest, and woodland from southern Alaska eastwards to Newfoundland and Labrador (northeastern Canada), southwards in western USA to mountains in northern Baja California (northwestern Mexico), throughout mountains of western and central USA and Mexico southwards to western Guatemala, and northeastern USA (Minnesota to Maine); winters irregularly across the Great Plains and eastern USA southwards to central Mexico Indiana listing: No special state or federal status code shown."
"SETOPHAGA_PINUS","Pine Warbler","Setophaga pinus","New World Warblers","No special state or federal status code shown","New World Warblers. Range: breeds in pine forest from south-central and eastern Canada southwards to southeastern USA; resident locally in Florida, western Bahamas, and the highlands of Hispaniola; winters in southeastern USA to far northeastern Mexico Indiana listing: No special state or federal status code shown."
"CHARADRIUS_MELODUS","Piping Plover","Charadrius melodus","Plovers","Indiana DNR status SE, FE","Plovers. Range: eastern Canada and USA; winters southeastern USA, Bahamas, and Greater Antilles Indiana listing: Indiana DNR status SE, FE."
"STERCORARIUS_POMARINUS","Pomarine Jaeger","Stercorarius pomarinus","Jaegers","No special state or federal status code shown","Jaegers. Range: breeds high Arctic tundra, mainly northwestern to northeastern Russia (including many high Arctic islands), northern and southwestern Alaska, eastward through Arctic Canada to Baffin Island (northeastern Canada); winters to temperate to tropical coasts and offshore waters worldwide Indiana listing: No special state or federal status code shown."
"FALCO_MEXICANUS","Prairie Falcon","Falco mexicanus","Falcons and Caracaras","No special state or federal status code shown","Falcons and Caracaras. Range: arid North America (British Columbia to northern Mexico) Indiana listing: No special state or federal status code shown."
"SETOPHAGA_DISCOLOR","Prairie Warbler","Setophaga discolor","New World Warblers","No special state or federal status code shown","New World Warblers. Range: breeds in shrubland and open woodland in southern Ontario (southeastern Canada) and southern New England (northeastern USA) southwards across eastern USA to northern Florida and westwards to eastern Texas; winters from Florida southwards to the Greater Antilles and Caribbean coast from eastern Yucatan Peninsula to Belize and northern Honduras, also in Bermuda Indiana listing: No special state or federal status code shown."
"PROTONOTARIA_CITREA","Prothonotary Warbler","Protonotaria citrea","New World Warblers","No special state or federal status code shown","New World Warblers. Range: breeds eastern USA; winters southeastern Mexico to western Ecuador and Lesser Antilles Indiana listing: No special state or federal status code shown."
"HAEMORHOUS_PURPUREUS","Purple Finch","Haemorhous purpureus","Finches","No special state or federal status code shown","Finches. Range: breeds in moist coniferous and mixed forests and riparian woodland from southern Yukon and southern Northwest Territories eastwards to Newfoundland (southwestern to eastern Canada) southwards in western USA to southern California, and in eastern USA from northern Minnesota eastward to Maine, and southwards in the Appalachians to West Virginia; winters southwards to northern Baja California (northwestern Mexico) and throughout eastern USA sporadically to northern Florida Indiana listing: No special state or federal status code shown."
"PORPHYRIO_MARTINICA","Purple Gallinule","Porphyrio martinica","Rails, Gallinules, and Coots","No special state or federal status code shown","Rails, Gallinules, and Coots. Range: locally from southern USA to northern Argentina and West Indies Indiana listing: No special state or federal status code shown."
"PROGNE_SUBIS","Purple Martin","Progne subis","Martins and Swallows","No special state or federal status code shown","Martins and Swallows. Range: breeds in flooded woodland, riparian woodland, forest borders, and urban areas, disjunctly from Alberta eastwards to New Brunswick (south-central to southeastern Canada), southwards along Pacific coast from far southwestern British Columbia to southern California, northern Sonora, and southern Baja California (northwestern Mexico), locally in interior southwestern USA to montane central Mexico, and in eastern USA to far northeastern Mexico, Gulf coast, and southern Florida; winters primarily in Amazonia Indiana listing: No special state or federal status code shown."
"CALIDRIS_MARITIMA","Purple Sandpiper","Calidris maritima","Sandpipers and Phalaropes","No special state or federal status code shown","Sandpipers and Phalaropes. Range: breeds montane tundra from Greenland and Iceland eastward through Arctic Europe and Russia to Taymyr Peninsula (north-central Siberia), also Banks to southern Ellesmere and Baffin islands (north-central Canada); winters rocky North Atlantic coasts from Iceland and Faroe Islands to western Europe, and Labrador and Gulf of St. Lawrence (southeastern Canada) southward to North Carolina Indiana listing: No special state or federal status code shown."
"SITTA_SP","Pygmy/Brown-headed Nuthatch","Sitta sp.","Nuthatches","No special state or federal status code shown","Nuthatches. Range: Range context unavailable in the matched Cornell record. Indiana listing: No special state or federal status code shown."
"LOXIA_CURVIROSTRA","Red Crossbill","Loxia curvirostra","Finches","No special state or federal status code shown","Finches. Range: conifer forest of subarctic to subtropical Holarctic: British Isles, Scandinavia (except far north) eastward across Russia to Sea of Okhotsk, Sakhalin, and Kuril Islands (southeastern Russia), Hokkaido to central Honshu (northern to central Japan), northern Korean Peninsula, in south through Iberian Peninsula, Morocco to Tunisia (northwestern to north-central Africa), eastward through Mediterranean, Turkey, Caucasus, Altai of eastern Kyrgyzstan, eastern Kazakhstan, northwestern Xinjiang (northwestern China), southern and central Mongolia to Heilongjiang and Hebei (northeastern China); disjunctly west-central to eastern Himalayas, southeastern Tibet, Qinghai, and Gansu to northwestern Yunnan; southern Vietnam; Luzon (northern Philippines); southeastern Alaska eastward to Newfoundland (northeastern Canada), southward to northern Baja California (northwestern Mexico), Rocky and Appalachian mountains, southward through Nicaragua; may winter irruptively southward Indiana listing: No special state or federal status code shown."
